id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
64256,14195,10 out of 10: Tables,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
166214,47015,101 Dalmatians: Escape from DeVil Manor,NULL,1997-05-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91370,143644,3D Kaleidoscope: Baby Universe,NULL,1997-06-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
51265,136087,3D Ultra Minigolf,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
36644,50470,3-D Ultra Pinball: The Lost Continent,NULL,1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180943,45317,4-4-2 Soccer,NULL,1997-09-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14139,3433,64 Oozumou,NULL,1997-11-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
67872,47751,64 Professional Sumo Wrestling,NULL,1997-12-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63999,585,688(I) Hunter/Killer,NULL,1997-07-04 00:00:00.000,1,NULL,NULL,NULL,60.0000,4
86402,9895,7th Legion,NULL,1997-09-30 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,2
12501,151874,9-gatsu no Yoru ni Tsume Shogi,NULL,1997-08-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
40040,124606,A Bear's Night Out,NULL,1997-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112355,54635,A Fork in the Tale,"The player controls Rob Schneider, an American comedian, who is lost in the land of Eseveron. Schneider navigates the world and encounters numerous characters who try to seduce him, help him, or kill him depending on interaction.",1997-02-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
54977,204341,A.R.S.E.N.A.L. Taste of Power,NULL,1997-12-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52220,92803,A2 Racer,NULL,1997-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
141462,78087,Aa! Megami-sama,NULL,1997-12-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
97564,77142,Accelerator,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
